,RankTHE,Name,No. of FTE students,No. of students per staff,International Students,Female:Male Ratio,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
1070,1001-1200,University of Marrakech Cadi Ayyad,"110,826",44.8,1%,50 : 50,24.4–29.7,26.8,10.5,32.7,38.7,37.7
1071,1001-1200,University of Mauritius,"8,710",21.5,1%,55 : 45,24.4–29.7,16.4,10.0,49.1,38.1,41.9
1072,1001-1200,University of Mazandaran,"13,320",33.1,6%,62 : 38,24.4–29.7,25.2,15.0,38.1,38.1,27.0
1073,1001-1200,Medical University of Bialystok,"5,494",12.7,8%,76 : 24,24.4–29.7,37.1,10.5,30.9,39.5,28.0
1074,1001-1200,Menoufia University,"100,182",34.3,0%,43 : 57,24.4–29.7,14.5,8.2,61.4,38.2,41.7
1075,1001-1200,Miguel Hernández University of Elche,"12,276",17.0,7%,48 : 52,24.4–29.7,17.5,16.1,40.5,40.0,38.6
1076,1001-1200,Morgan State University,"6,129",11.7,8%,59 : 41,24.4–29.7,22.0,10.4,36.7,37.2,48.7
1077,1001-1200,University of Murcia,"26,351",16.0,8%,59 : 41,24.4–29.7,20.1,19.1,34.0,39.2,39.8
1078,1001-1200,Nanjing University of Aeronautics and Astronautics,"32,300",15.6,3%,30 : 70,24.4–29.7,22.0,26.1,23.1,69.5,20.8
1079,1001-1200,Nanjing Medical University,"20,660",8.6,4%,,24.4–29.7,29.2,19.7,37.2,39.0,20.7
1080,1001-1200,National Autonomous University of Mexico,"172,729",17.4,4%,52 : 48,24.4–29.7,29.9,29.5,21.3,54.3,47.8
1081,1001-1200,National Central University,"10,853",9.7,9%,36 : 64,24.4–29.7,25.0,22.6,17.4,73.6,43.7
1082,1001-1200,National University of Colombia,"42,188",15.8,1%,39 : 61,24.4–29.7,20.3,13.1,41.2,37.3,38.4
1083,1001-1200,National Taipei University of Technology,"9,873",15.7,11%,28 : 72,24.4–29.7,22.7,23.1,24.6,96.5,39.7
1084,1001-1200,National Taiwan Ocean University,"8,905",21.0,6%,33 : 67,24.4–29.7,18.7,25.6,24.1,74.9,31.3
1085,1001-1200,National Institute of Technology Rourkela,"7,583",20.6,4%,23 : 77,24.4–29.7,22.2,17.2,45.6,39.0,18.6
1086,1001-1200,Necmettin Erbakan University,"18,420",13.4,13%,51 : 49,24.4–29.7,33.7,12.7,26.9,39.6,31.5
1087,1001-1200,Niigata University,"12,037",7.6,3%,38 : 62,24.4–29.7,25.3,13.5,48.8,42.1,25.3
1088,1001-1200,Northwest University,"26,073",14.0,1%,53 : 47,24.4–29.7,21.5,14.5,40.1,41.5,21.4
1089,1001-1200,Oakland University,"15,413",17.8,4%,58 : 42,24.4–29.7,29.0,15.7,31.3,37.1,33.6
1090,1001-1200,Óbuda University,"11,804",38.4,6%,21 : 79,24.4–29.7,15.0,14.6,45.5,38.8,42.1
1091,1001-1200,Okayama University,"13,012",10.4,10%,40 : 60,24.4–29.7,27.6,20.3,22.4,57.6,33.6
1092,1001-1200,University of Oviedo,"18,599",11.6,2%,53 : 47,24.4–29.7,22.0,20.1,38.4,40.4,32.8
1093,1001-1200,Palacký University Olomouc,"18,673",14.5,13%,69 : 31,24.4–29.7,19.6,19.9,40.0,37.8,59.3
1094,1001-1200,University of Patras,"29,393",25.6,6%,51 : 49,24.4–29.7,16.9,16.6,43.7,40.9,38.1
1095,1001-1200,Pavol Jozef Šafárik University in Košice,"6,867",10.0,23%,67 : 33,24.4–29.7,39.7,10.1,14.4,37.0,64.8
1096,1001-1200,University of Pécs,"17,711",12.6,23%,57 : 43,24.4–29.7,38.3,13.0,27.2,38.7,56.3
1097,1001-1200,PMAS Arid Agriculture University Rawalpindi,"11,456",44.8,0%,37 : 63,24.4–29.7,26.4,11.2,35.5,36.9,43.1
1098,1001-1200,Polytechnic Institute of Porto,"18,743",16.9,7%,48 : 52,24.4–29.7,14.3,11.2,46.3,37.1,36.7
1099,1001-1200,Pondicherry University,"7,291",22.6,1%,47 : 53,24.4–29.7,35.9,21.3,23.5,38.1,16.1
1100,1001-1200,Portland State University,"18,067",19.3,6%,58 : 42,24.4–29.7,20.5,21.5,40.6,37.8,30.6
1101,1001-1200,Port Said University,"29,534",29.8,0%,49 : 51,24.4–29.7,13.2,8.0,53.9,37.0,42.5
1102,1001-1200,Public University of Navarre,"7,806",11.2,8%,51 : 49,24.4–29.7,20.0,13.5,42.5,39.0,46.6
1103,1001-1200,University of Puerto Rico,"47,257",17.0,1%,61 : 39,24.4–29.7,22.9,10.5,41.0,39.9,46.7
1104,1001-1200,Pusan National University,"21,018",17.0,6%,51 : 49,24.4–29.7,30.7,32.5,21.6,50.8,28.5
1105,1001-1200,Reichman University,"8,030",18.7,28%,51 : 49,24.4–29.7,14.3,9.6,50.3,36.9,66.2
1106,1001-1200,University Rey Juan Carlos,"43,160",20.3,7%,59 : 41,24.4–29.7,15.4,13.2,47.4,38.3,38.8
1107,1001-1200,Rikkyo University,"20,014",15.1,5%,,24.4–29.7,16.5,8.7,41.0,37.4,49.2
1108,1001-1200,Robert Gordon University,"8,955",19.1,25%,60 : 40,24.4–29.7,17.7,12.9,33.9,38.2,79.9
1109,1001-1200,Rochester Institute of Technology,"14,520",15.7,16%,36 : 64,24.4–29.7,20.9,19.2,43.5,38.2,41.5
1110,1001-1200,Rowan University,"17,912",14.4,3%,47 : 53,24.4–29.7,30.7,11.3,45.6,37.3,31.3
1111,1001-1200,Sahand University of Technology,"4,595",24.5,0%,35 : 65,24.4–29.7,20.2,15.6,48.7,55.1,19.3
1112,1001-1200,Sakarya University,"40,331",25.1,8%,54 : 46,24.4–29.7,21.2,11.3,46.2,54.2,27.3
1113,1001-1200,Universidad San Francisco de Quito,"10,338",13.6,5%,49 : 51,24.4–29.7,16.7,9.8,42.8,37.7,65.6
1114,1001-1200,University of Sargodha,"23,740",31.0,0%,53 : 47,24.4–29.7,28.1,10.7,39.2,37.3,43.2
1115,1001-1200,Semnan University of Medical Sciences and Health Services,"3,536",8.3,7%,64 : 36,24.4–29.7,20.9,9.2,47.6,37.0,25.0
1116,1001-1200,University of Seville,"49,155",16.7,12%,58 : 42,24.4–29.7,20.3,22.6,39.5,40.6,45.4
1117,1001-1200,Shahid Beheshti University of Medical Sciences,"12,850",8.7,3%,58 : 42,24.4–29.7,38.6,14.8,35.8,50.9,21.7
1118,1001-1200,Shahrekord University,"7,268",21.1,0%,56 : 44,24.4–29.7,17.7,12.7,48.7,37.7,19.3
1119,1001-1200,Shahrood University of Technology,"8,221",21.1,1%,44 : 56,24.4–29.7,25.1,16.6,46.1,37.6,28.1
1120,1001-1200,Shanghai Maritime University,"23,263",16.7,2%,46 : 54,24.4–29.7,15.8,11.2,50.6,48.4,32.0
1121,1001-1200,Sidi Mohamed Ben Abdellah University,"90,045",53.3,2%,48 : 52,24.4–29.7,23.9,10.4,40.7,36.9,23.4
1122,1001-1200,Siksha ‘O’ Anusandhan,"13,990",12.4,1%,54 : 46,24.4–29.7,28.6,14.8,46.3,52.8,16.0
1123,1001-1200,University of Social Welfare and Rehabilitation Sciences,"1,746",10.9,2%,68 : 32,24.4–29.7,29.4,19.5,33.1,41.4,33.1
1124,1001-1200,Sogang University,"9,625",24.0,15%,46 : 54,24.4–29.7,24.8,25.9,28.4,51.7,39.0
1125,1001-1200,Sohag University,"60,248",26.4,0%,56 : 44,24.4–29.7,14.2,8.3,52.2,37.4,44.9
1126,1001-1200,University of South Africa,"236,282",232.2,3%,73 : 27,24.4–29.7,30.4,25.5,29.3,37.6,42.6
1127,1001-1200,University of South Dakota,"7,129",14.7,3%,63 : 37,24.4–29.7,35.2,15.0,30.1,36.9,24.9
1128,1001-1200,University of the South Pacific,"12,052",36.6,1%,58 : 42,24.4–29.7,15.8,16.3,45.3,43.1,69.0
1129,1001-1200,South Valley University,"52,035",30.0,1%,57 : 43,24.4–29.7,13.7,8.4,53.6,37.0,46.1
1130,1001-1200,University of South Wales,"15,625",15.4,21%,53 : 47,24.4–29.7,16.9,11.0,33.0,38.5,70.9
1131,1001-1200,University of Split,"19,363",16.3,2%,57 : 43,24.4–29.7,15.7,13.4,49.7,37.9,37.3
1132,1001-1200,Ştefan cel Mare University of Suceava,"9,239",24.8,14%,59 : 41,24.4–29.7,16.9,12.0,52.0,37.5,33.5
1133,1001-1200,St Marianna University School of Medicine,833,0.9,1%,39 : 61,24.4–29.7,26.7,8.6,39.4,37.1,17.6
1134,1001-1200,University of Sunderland,"12,050",15.9,40%,60 : 40,24.4–29.7,16.9,9.6,35.3,37.1,69.6
1135,1001-1200,SWPS University,"14,522",37.6,8%,78 : 22,24.4–29.7,15.4,16.3,38.5,37.3,52.0
1136,1001-1200,University of Szeged,"20,023",12.5,22%,55 : 45,24.4–29.7,23.2,15.5,33.3,39.6,60.8
1137,1001-1200,Tallinn University,"4,178",9.6,16%,71 : 29,24.4–29.7,19.7,18.8,22.4,39.0,68.9
1138,1001-1200,Technical University of Crete,"6,597",31.6,4%,37 : 63,24.4–29.7,14.1,11.9,57.4,41.4,43.4
1139,1001-1200,Technical University of Madrid,"38,976",15.6,16%,32 : 68,24.4–29.7,22.5,15.3,36.5,45.2,52.7
1140,1001-1200,Technological University Dublin,"20,686",18.7,21%,44 : 56,24.4–29.7,17.8,12.3,33.1,37.5,72.6
1141,1001-1200,Teesside University,"13,135",19.3,20%,57 : 43,24.4–29.7,19.1,12.7,42.5,37.2,69.1
1142,1001-1200,University of Texas Rio Grande Valley,"29,420",23.5,3%,60 : 40,24.4–29.7,18.1,23.7,40.7,37.1,36.0
1143,1001-1200,Tokyo Medical University,"1,370",1.7,1%,45 : 55,24.4–29.7,28.2,11.5,39.8,44.5,19.0
1144,1001-1200,Tokyo Metropolitan University,"8,829",10.6,6%,39 : 61,24.4–29.7,24.5,14.6,34.1,39.9,30.0
1145,1001-1200,University of Trás-os-Montes and Alto Douro,"7,123",11.1,8%,55 : 45,24.4–29.7,17.1,19.4,31.9,36.9,44.2
1146,1001-1200,Universiti Tunku Abdul Rahman (UTAR),"18,183",15.8,3%,51 : 49,24.4–29.7,16.1,14.9,49.8,39.7,35.6
1147,1001-1200,"University of Veterinary and Animal Sciences, Lahore","7,087",19.6,1%,50 : 50,24.4–29.7,16.3,13.9,38.4,54.8,45.0
1148,1001-1200,"Vietnam National University, Hanoi","48,070",15.3,1%,63 : 37,24.4–29.7,18.7,9.6,45.9,38.9,45.5
1149,1001-1200,University of Vigo,"17,613",15.4,6%,51 : 49,24.4–29.7,18.7,16.5,44.5,40.6,44.6
1150,1001-1200,Waseda University,"46,799",14.6,13%,39 : 61,24.4–29.7,29.3,23.8,27.6,41.1,47.0
1151,1001-1200,University of Westminster,"16,945",20.8,50%,61 : 39,24.4–29.7,18.6,18.4,35.9,37.3,82.9
1152,1001-1200,Wuhan University of Technology,"55,426",14.9,2%,30 : 70,24.4–29.7,19.4,15.2,48.3,55.7,23.2
1153,1001-1200,Xidian University,"37,205",16.0,1%,27 : 73,24.4–29.7,22.0,20.4,40.8,78.4,21.1
1154,1001-1200,Yarmouk University,"36,443",33.2,10%,69 : 31,24.4–29.7,29.4,11.1,33.6,38.2,49.8
1155,1001-1200,Yasouj University,"5,713",23.6,0%,56 : 44,24.4–29.7,14.8,13.6,53.8,38.5,18.5
1156,1001-1200,Yıldız Technical University,"25,532",26.0,11%,48 : 52,24.4–29.7,25.7,26.7,29.3,100.0,32.0
1157,1001-1200,University of Zaragoza,"28,085",10.1,8%,54 : 46,24.4–29.7,21.1,16.3,35.0,40.7,40.3
1158,1001-1200,Zhejiang Gongshang University,"22,676",15.8,5%,61 : 39,24.4–29.7,16.9,11.0,53.8,40.1,32.8
1159,1001-1200,Zhejiang University of Technology,"32,095",14.5,6%,,24.4–29.7,18.2,18.4,49.1,65.1,24.5
1160,1001-1200,University of Žilina,"7,545",13.4,3%,35 : 65,24.4–29.7,21.3,18.2,29.7,45.3,33.0
1161,1001-1200,University of Zimbabwe,"20,598",23.9,0%,51 : 49,24.4–29.7,14.8,23.3,35.6,43.1,50.0
1162,1201-1500,Université 8 Mai 1945 Guelma,"17,530",20.1,1%,67 : 33,18.4–24.3,16.2,8.6,41.3,37.0,36.5
1163,1201-1500,Abdelmalek Essaâdi University,"112,677",88.2,1%,50 : 50,18.4–24.3,27.4,9.5,16.2,36.9,28.0
1164,1201-1500,Acharya Nagarjuna University,"4,872",7.9,7%,38 : 62,18.4–24.3,42.4,9.7,18.2,42.5,24.1
1165,1201-1500,Acıbadem University,"2,784",6.1,3%,74 : 26,18.4–24.3,22.4,11.4,18.0,38.7,24.9
1166,1201-1500,Adolfo Ibáñez University,"10,573",25.7,5%,38 : 62,18.4–24.3,15.6,17.2,20.0,38.1,60.4
1167,1201-1500,AGH University of Krakow,"20,240",12.7,3%,35 : 65,18.4–24.3,20.6,18.6,18.7,56.8,25.5
1168,1201-1500,Aichi Medical University,"1,323",2.9,1%,57 : 43,18.4–24.3,26.5,12.4,31.6,41.1,18.7
1169,1201-1500,Universitas Airlangga,"26,142",7.7,2%,66 : 34,18.4–24.3,23.4,10.5,27.6,38.4,38.5
1170,1201-1500,Akdeniz University,"44,434",32.7,3%,33 : 67,18.4–24.3,15.5,10.8,27.8,38.1,19.7
1171,1201-1500,University of Alicante,"22,094",14.4,10%,58 : 42,18.4–24.3,20.3,18.4,23.1,39.3,41.3
1172,1201-1500,"University of the Andes, Chile","9,405",18.9,3%,58 : 42,18.4–24.3,17.8,14.3,28.0,40.2,48.1
1173,1201-1500,Andhra University,"9,048",13.2,6%,49 : 51,18.4–24.3,38.4,9.9,21.7,40.3,20.4
1174,1201-1500,Universidad Andrés Bello (UNAB),"46,325",19.5,4%,54 : 46,18.4–24.3,14.3,9.4,29.8,37.8,50.4
1175,1201-1500,Ankara University,"71,311",15.2,5%,46 : 54,18.4–24.3,18.8,11.0,25.6,37.7,27.4
1176,1201-1500,University of Antioquia,"38,437",21.5,0%,51 : 49,18.4–24.3,17.2,14.9,25.0,43.3,37.8
1177,1201-1500,"Arab Academy for Science, Technology and Maritime Transport","32,049",13.8,12%,33 : 67,18.4–24.3,23.3,10.4,24.0,39.8,45.5
1178,1201-1500,Arak University,"6,379",21.3,6%,67 : 33,18.4–24.3,17.9,12.9,24.9,37.2,23.5
1179,1201-1500,Ariel University,"12,418",20.7,0%,49 : 51,18.4–24.3,15.8,18.9,15.5,40.1,31.4
1180,1201-1500,Atatürk University,"56,419",30.2,3%,51 : 49,18.4–24.3,18.8,14.0,37.2,37.3,20.4
1181,1201-1500,Austral University of Chile,"17,434",17.5,1%,53 : 47,18.4–24.3,16.5,14.4,24.0,44.4,51.4
1182,1201-1500,Banasthali University,"10,092",17.1,5%,100 : 0,18.4–24.3,34.7,11.0,26.3,43.2,21.8
1183,1201-1500,Bandung Institute of Technology (ITB),"20,915",13.9,2%,44 : 56,18.4–24.3,22.6,25.8,15.3,88.8,34.7
1184,1201-1500,Bangladesh Agricultural University (BAU),"9,918",17.3,1%,34 : 66,18.4–24.3,17.3,10.2,33.7,40.7,46.3
1185,1201-1500,Bangladesh University of Engineering and Technology,"6,268",13.0,0%,22 : 78,18.4–24.3,18.1,13.4,33.0,37.8,25.7
1186,1201-1500,University of Benin,"47,468",25.2,0%,50 : 50,18.4–24.3,14.7,8.7,28.3,36.9,27.1
1187,1201-1500,Bezmiâlem Vakif University,"2,904",9.5,6%,71 : 29,18.4–24.3,27.7,10.7,27.2,41.0,24.3
1188,1201-1500,BINUS University,"15,331",14.3,4%,41 : 59,18.4–24.3,17.6,14.3,24.4,43.8,27.0
1189,1201-1500,Bozok University,"14,642",16.8,6%,50 : 50,18.4–24.3,13.8,8.7,30.2,38.4,27.7
1190,1201-1500,University of Brasília,"45,737",15.2,1%,52 : 48,18.4–24.3,27.3,15.8,23.5,49.5,31.2
1191,1201-1500,The British University in Egypt,"11,042",16.2,3%,46 : 54,18.4–24.3,15.1,8.7,41.9,37.1,30.1
1192,1201-1500,Brno University of Technology,"18,762",16.6,23%,29 : 71,18.4–24.3,18.6,17.8,17.1,42.7,56.2
1193,1201-1500,Bu-Ali Sina University,"10,838",23.4,1%,56 : 44,18.4–24.3,16.5,15.6,29.0,38.4,22.0
1194,1201-1500,University of Bucharest,"31,267",32.7,2%,68 : 32,18.4–24.3,24.3,16.8,23.1,37.6,29.4
1195,1201-1500,Budapest University of Technology and Economics,"18,728",17.0,12%,31 : 69,18.4–24.3,19.1,17.5,18.0,43.6,39.1
1196,1201-1500,University of Cadiz,"18,672",16.8,9%,56 : 44,18.4–24.3,17.6,16.4,32.6,38.4,39.8
1197,1201-1500,Canterbury Christ Church University,"10,740",17.8,14%,69 : 31,18.4–24.3,24.7,12.8,26.4,37.0,47.7
1198,1201-1500,University of Carthage,"28,962",9.9,1%,67 : 33,18.4–24.3,19.0,9.8,19.1,38.3,44.2
1199,1201-1500,The Catholic University of Korea,"9,782",7.1,4%,60 : 40,18.4–24.3,25.1,18.9,24.9,41.2,20.1
1200,1201-1500,Catholic University of the North,"11,343",20.4,3%,47 : 53,18.4–24.3,14.3,17.0,27.4,38.2,57.1
1201,1201-1500,Chang Gung University of Science and Technology,"6,326",26.5,1%,90 : 10,18.4–24.3,13.6,16.1,29.4,47.8,19.3
1202,1201-1500,"University of Chemistry and Technology, Prague","4,006",8.0,22%,58 : 42,18.4–24.3,26.2,13.4,15.8,41.5,51.4
1203,1201-1500,University of Chester,"10,435",18.0,15%,68 : 32,18.4–24.3,18.8,12.9,18.7,37.6,56.5
1204,1201-1500,Chosun University,"21,073",27.3,3%,48 : 52,18.4–24.3,17.8,22.2,16.9,81.3,29.6
1205,1201-1500,Chungbuk National University,"17,219",14.2,5%,44 : 56,18.4–24.3,20.3,20.2,20.9,42.9,26.6
1206,1201-1500,Chungnam National University,"21,244",20.7,4%,47 : 53,18.4–24.3,26.7,24.6,18.7,46.1,24.3
1207,1201-1500,Chung Yuan Christian University,"15,037",31.3,9%,46 : 54,18.4–24.3,17.2,21.9,26.6,48.5,42.9
1208,1201-1500,Cochin University of Science and Technology,"3,969",16.9,1%,60 : 40,18.4–24.3,37.8,18.6,12.8,37.4,16.9
1209,1201-1500,University of Colorado Colorado Springs,"12,380",21.2,1%,55 : 45,18.4–24.3,17.1,12.7,32.9,38.4,24.7
1210,1201-1500,University of Concepción,"28,112",17.1,2%,52 : 48,18.4–24.3,16.4,14.0,30.1,49.9,50.7
1211,1201-1500,Corvinus University of Budapest,"11,225",21.3,15%,53 : 47,18.4–24.3,16.0,12.2,23.0,37.2,43.5
1212,1201-1500,Czech Technical University in Prague,"16,217",8.8,20%,19 : 81,18.4–24.3,23.2,16.1,15.5,48.4,58.2
1213,1201-1500,Damghan University,"4,980",28.6,0%,62 : 38,18.4–24.3,18.1,13.3,25.4,39.1,23.4
1214,1201-1500,De La Salle University,"12,941",14.9,3%,50 : 50,18.4–24.3,18.1,13.4,23.6,36.9,25.6
1215,1201-1500,Del Rosario University,"11,751",13.2,2%,59 : 41,18.4–24.3,16.8,11.6,25.3,38.4,48.4
1216,1201-1500,Democritus University of Thrace,"22,230",37.0,4%,56 : 44,18.4–24.3,15.2,13.8,36.9,37.9,32.6
1217,1201-1500,Dokuz Eylül University,"56,233",17.6,3%,47 : 53,18.4–24.3,18.4,13.3,20.9,95.8,21.7
1218,1201-1500,Ege University,"33,062",18.5,4%,57 : 43,18.4–24.3,21.8,13.3,19.0,46.7,24.1
1219,1201-1500,Ehime University,"9,204",13.3,2%,38 : 62,18.4–24.3,20.7,15.3,21.7,44.0,27.1
1220,1201-1500,El Bosque University,"12,721",6.6,0%,65 : 35,18.4–24.3,20.3,7.8,19.7,37.9,44.1
1221,1201-1500,The University of Electro-Communications,"4,662",15.4,6%,12 : 88,18.4–24.3,19.9,21.1,10.5,44.3,32.6
1222,1201-1500,Erciyes University,"50,212",36.2,4%,47 : 53,18.4–24.3,20.0,14.1,23.7,68.9,24.1
1223,1201-1500,Escuela Superior Politécnica del Litoral,"11,549",12.8,1%,38 : 62,18.4–24.3,16.1,10.2,35.0,37.0,54.3
1224,1201-1500,Universidade do Estado do Rio de Janeiro (UERJ),"22,458",9.1,0%,56 : 44,18.4–24.3,24.9,12.4,17.4,39.9,24.2
1225,1201-1500,Universidade Federal da Bahia,"45,692",17.4,0%,51 : 49,18.4–24.3,24.6,11.1,25.6,37.2,24.6
1226,1201-1500,Federal University of Espírito Santo,"23,475",13.4,1%,54 : 46,18.4–24.3,20.4,12.2,22.5,42.1,24.8
1227,1201-1500,Federal University of Goiás,"25,511",13.7,1%,50 : 50,18.4–24.3,22.5,13.0,19.2,38.8,23.7
1228,1201-1500,Federal University of Lavras,"14,637",18.4,1%,52 : 48,18.4–24.3,24.7,17.1,15.7,54.3,23.1
1229,1201-1500,Universidade Federal do Paraná (UFPR),"33,621",13.4,0%,63 : 37,18.4–24.3,25.4,16.0,15.2,39.1,23.9
1230,1201-1500,Federal University of Rio Grande do Norte (UFRN),"37,879",14.7,0%,40 : 60,18.4–24.3,22.2,10.1,34.0,38.5,27.1
1231,1201-1500,Federal University of Santa Maria,"27,242",13.7,1%,53 : 47,18.4–24.3,22.1,12.1,33.9,37.8,21.5
1232,1201-1500,Federal University of São Carlos,"20,314",15.4,1%,50 : 50,18.4–24.3,28.1,19.0,18.4,42.8,26.1
1233,1201-1500,Federal University of Uberlândia,"25,748",13.6,1%,52 : 48,18.4–24.3,23.0,11.1,34.6,39.4,21.4
1234,1201-1500,Federal University of Viçosa,"16,436",13.3,2%,55 : 45,18.4–24.3,28.3,16.7,15.2,43.7,21.7
1235,1201-1500,Federico Santa María Technical University,"22,405",30.0,3%,26 : 74,18.4–24.3,14.0,12.0,27.3,39.4,54.8
1236,1201-1500,University of Fort Hare,"13,626",38.4,2%,57 : 43,18.4–24.3,22.5,12.4,22.5,37.0,43.9
1237,1201-1500,University of La Frontera,"11,053",22.0,1%,50 : 50,18.4–24.3,16.0,12.9,28.8,37.1,49.7
1238,1201-1500,Fujian Normal University,"31,697",14.2,2%,,18.4–24.3,17.3,10.5,43.9,39.3,23.5
1239,1201-1500,Université de Gabès,"13,152",12.8,1%,75 : 25,18.4–24.3,18.1,9.3,25.7,36.9,42.1
1240,1201-1500,Universitas Gadjah Mada,"38,089",8.1,4%,55 : 45,18.4–24.3,25.6,17.3,11.3,71.7,36.2
1241,1201-1500,Gazi University,"41,358",20.6,3%,50 : 50,18.4–24.3,27.5,16.2,23.0,92.7,18.9
1242,1201-1500,University of Gdańsk,"19,970",23.9,2%,67 : 33,18.4–24.3,18.4,15.5,19.1,38.0,34.7
1243,1201-1500,Gdańsk University of Technology,"14,816",19.9,5%,38 : 62,18.4–24.3,17.7,15.1,33.3,45.0,29.9
1244,1201-1500,Gebze Technical University,"8,403",22.7,2%,43 : 57,18.4–24.3,20.5,14.4,22.1,44.1,25.5
1245,1201-1500,Georgia Southern University,"22,885",18.8,3%,59 : 41,18.4–24.3,21.9,11.4,33.9,39.4,28.0
1246,1201-1500,German University in Cairo,"11,937",14.9,1%,44 : 56,18.4–24.3,15.0,8.8,38.4,36.9,43.0
1247,1201-1500,Gifu University,"7,216",7.5,5%,38 : 62,18.4–24.3,25.7,13.0,17.2,42.1,26.1
1248,1201-1500,Government College University Lahore,"11,276",19.4,0%,42 : 58,18.4–24.3,17.5,11.5,21.0,37.3,43.7
1249,1201-1500,Grand Valley State University,"20,972",15.3,1%,61 : 39,18.4–24.3,26.7,9.0,19.2,37.0,30.6
1250,1201-1500,Gunma University,"6,300",7.7,5%,38 : 62,18.4–24.3,24.2,13.0,17.1,40.7,23.5
1251,1201-1500,Gyeongsang National University,"12,996",12.3,3%,47 : 53,18.4–24.3,20.8,17.0,21.2,40.9,26.4
1252,1201-1500,Hallym University,"7,947",9.4,4%,,18.4–24.3,19.8,18.7,18.4,45.1,21.4
1253,1201-1500,Harbin Engineering University,"29,861",18.7,3%,23 : 77,18.4–24.3,24.6,23.2,18.6,79.3,21.7
1254,1201-1500,Hasanuddin University,"33,601",14.6,1%,60 : 40,18.4–24.3,18.4,10.9,25.5,44.5,26.4
1255,1201-1500,The Hashemite University,"16,647",27.9,7%,61 : 39,18.4–24.3,14.3,13.5,23.7,42.8,54.5
1256,1201-1500,Université Hassan II de Casablanca,"124,623",36.0,2%,52 : 48,18.4–24.3,19.4,8.6,30.3,38.6,24.6
1257,1201-1500,Université Polytechnique Hauts-de-France,"13,633",21.2,13%,46 : 54,18.4–24.3,15.4,8.1,32.6,37.7,76.2
1258,1201-1500,Helwan University,"127,379",19.3,2%,53 : 47,18.4–24.3,15.5,8.3,31.1,37.3,39.7
1259,1201-1500,Hosei University,"30,300",39.2,4%,38 : 62,18.4–24.3,16.7,10.0,27.8,38.3,31.8
1260,1201-1500,University of Hradec Králové,"6,390",12.3,3%,65 : 35,18.4–24.3,17.0,13.6,30.0,39.3,57.6
1261,1201-1500,Hungarian University of Agriculture and Life Sciences,"10,474",10.5,14%,53 : 47,18.4–24.3,21.1,13.3,21.0,37.7,56.2
1262,1201-1500,University of Ilorin,"40,901",34.8,1%,48 : 52,18.4–24.3,19.8,10.7,35.8,36.9,33.5
1263,1201-1500,Indian Institute of Science Education and Research Bhopal,"1,724",14.1,0%,32 : 68,18.4–24.3,27.8,15.8,19.2,36.9,20.2
1264,1201-1500,International Hellenic University,"45,009",49.0,1%,54 : 46,18.4–24.3,11.7,10.8,34.4,37.3,31.2
1265,1201-1500,IPB University,"23,580",6.7,3%,58 : 42,18.4–24.3,26.1,9.7,17.6,53.1,40.4
1266,1201-1500,Istanbul Medipol University,"24,332",20.4,11%,65 : 35,18.4–24.3,14.1,9.5,28.2,38.0,34.8
1267,1201-1500,Ivan Franko National University of Lviv,"18,357",10.0,1%,65 : 35,18.4–24.3,20.6,9.5,4.2,37.6,30.9
1268,1201-1500,Jawaharlal Nehru Technological University Anantapur (JNTUA),"5,683",16.1,0%,38 : 62,18.4–24.3,26.0,12.3,34.1,37.3,16.0
1269,1201-1500,Jeju National University,"11,741",17.6,4%,52 : 48,18.4–24.3,19.3,15.6,22.4,40.0,23.0
1270,1201-1500,Jianghan University,"19,522",15.5,2%,55 : 45,18.4–24.3,15.2,11.5,40.4,44.4,20.5
1271,1201-1500,Kagawa University,"6,369",9.9,2%,42 : 58,18.4–24.3,20.3,12.2,20.8,42.3,28.9
1272,1201-1500,Kanazawa Medical University,"1,090",2.2,2%,54 : 46,18.4–24.3,25.7,8.9,18.8,37.9,19.5
1273,1201-1500,Kangwon National University,"22,104",22.0,3%,41 : 59,18.4–24.3,20.3,19.4,19.1,39.9,23.1
1274,1201-1500,Karabük University,"47,263",41.8,22%,39 : 61,18.4–24.3,13.1,8.8,37.2,37.2,42.6
1275,1201-1500,Kaunas University of Technology,"8,361",14.2,8%,34 : 66,18.4–24.3,18.2,15.9,21.3,43.8,44.3
1276,1201-1500,Khon Kaen University,"34,434",18.1,2%,59 : 41,18.4–24.3,22.1,14.4,19.2,49.5,32.2
1277,1201-1500,Khulna University of Engineering and Technology (KUET),"5,562",15.0,0%,23 : 77,18.4–24.3,14.3,9.2,45.7,37.0,24.3
1278,1201-1500,King Mongkut's University of Technology North Bangkok,"27,055",22.8,0%,43 : 57,18.4–24.3,16.6,10.3,31.5,39.1,23.0
1279,1201-1500,Kitasato University,"8,605",5.2,1%,54 : 46,18.4–24.3,23.9,10.1,20.3,41.3,17.9
1280,1201-1500,Kochi University of Technology,"2,593",20.3,2%,25 : 75,18.4–24.3,25.2,14.3,10.1,42.0,33.7
1281,1201-1500,Universiti Kuala Lumpur,"15,858",12.3,3%,41 : 59,18.4–24.3,17.2,9.0,24.1,40.1,38.3
1282,1201-1500,Kyushu Institute of Technology (Kyutech),"5,646",16.0,5%,14 : 86,18.4–24.3,20.2,14.1,25.1,53.5,36.2
